index,key,entry_type,line,source_kind,identifier,status,bib_title,primary_title,title_similarity,bib_year,primary_year,bib_author_surnames,primary_author_surnames,author_prefix_match,primary_source_url,issues,manual_checked_at,manual_basis
19,lin2025partcrafter,article,144,arxiv,2506.05573,verified_primary_metadata,PartCrafter: Structured 3D Mesh Generation via Compositional Latent Diffusion Transformers,PartCrafter: Structured 3D Mesh Generation via Compositional Latent Diffusion Transformers,1.0,2025,2025,lin;lin;pan;yan;feng;mu;fragkiadaki,lin;lin;pan;yan;feng;mu;fragkiadaki,True,http://arxiv.org/abs/2506.05573v1,,,
20,hunyuan2026hy3dbench,article,152,arxiv,2602.03907,verified_primary_metadata,HY3D-Bench: Generation of 3D Assets,HY3D-Bench: Generation of 3D Assets,1.0,2026,2026,hunyuan3d,hunyuan3d;;zhang;guo;guo;liu;yan;shi;yu;xu;huang;li;wang;linus;wang;lin;tang;yang;li;guan;zhao;yang;lai;liang;zhao,True,http://arxiv.org/abs/2602.03907v1,,,
21,li2026pixal3d,article,160,arxiv,2605.10922,verified_primary_metadata,Pixal3D: Pixel-Aligned 3D Generation from Images,Pixal3D: Pixel-Aligned 3D Generation from Images,1.0,2026,2026,li;zhao;chen;hu;guo;zhang;shan;hu,li;zhao;chen;hu;guo;zhang;shan;hu,True,http://arxiv.org/abs/2605.10922v1,,,
22,yang2026p3dbench,article,168,arxiv,2606.11152,verified_primary_metadata,P3D-Bench: Benchmarking MLLMs for Parametric 3D Generation and Structural Reasoning,P3D-Bench: Benchmarking MLLMs for Parametric 3D Generation and Structural Reasoning,1.0,2026,2026,yang;hu;lin;zhou;xu;zhang;liu;yao,yang;hu;lin;zhou;xu;zhang;liu;yao,True,http://arxiv.org/abs/2606.11152v2,,,
23,hyper3d2026rodin25,misc,176,url_only,https://hyper3d.ai/,verified_vendor_page_only,Hyper3D Rodin Gen-2.5,,,2026,,hyper3d,,,https://hyper3d.ai/,,2026-07-15,The official Hyper3D product page identifies Rodin Gen-2.5. The page is rolling vendor material and cannot establish scientific superiority.
24,brazil2022omni3d,inproceedings,183,arxiv,2207.10660,verified_primary_metadata,Omni3D: A Large Benchmark and Model for 3D Object Detection in the Wild,Omni3D: A Large Benchmark and Model for 3D Object Detection in the Wild,1.0,2023,2022,brazil;kumar;straub;ravi;johnson;gkioxari,brazil;kumar;straub;ravi;johnson;gkioxari,True,http://arxiv.org/abs/2207.10660v2,,,
25,yao2024ovmono3d,article,191,arxiv,2411.16833,verified_primary_metadata,Open Vocabulary Monocular 3D Object Detection,Open Vocabulary Monocular 3D Object Detection,1.0,2024,2024,yao;gu;chen;wang;cheng,yao;gu;chen;wang;cheng,True,http://arxiv.org/abs/2411.16833v2,,,
26,yu2021ap10k,inproceedings,199,arxiv,2108.12617,verified_primary_metadata,AP-10K: A Benchmark for Animal Pose Estimation in the Wild,AP-10K: A Benchmark for Animal Pose Estimation in the Wild,1.0,2021,2021,yu;xu;zhang;zhao;guan;tao,yu;xu;zhang;zhao;guan;tao,True,http://arxiv.org/abs/2108.12617v2,,,
27,li20243dfauna,article,207,arxiv,2401.02400,verified_primary_metadata,Learning the 3D Fauna of the Web,Learning the 3D Fauna of the Web,1.0,2024,2024,li;litvak;li;zhang;jakab;rupprecht;wu;vedaldi;wu,li;litvak;li;zhang;jakab;rupprecht;wu;vedaldi;wu,True,http://arxiv.org/abs/2401.02400v2,,,
28,hu2026sam3danimal,article,215,arxiv,2605.07604,verified_primary_metadata,SAM 3D Animal: Promptable Animal 3D Reconstruction from Images in the Wild,SAM 3D Animal: Promptable Animal 3D Reconstruction from Images in the Wild,1.0,2026,2026,hu;lyu;liu;liu;zuffi;an;goetz,hu;lyu;liu;liu;zuffi;an;goetz,True,http://arxiv.org/abs/2605.07604v1,,,
29,wang2025yoloe,inproceedings,224,url_only,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_YOLOE_Real-Time_Seeing_Anything_ICCV_2025_paper.html,verified_primary_metadata,YOLOE: Real-Time Seeing Anything,,,2025,,wang;liu;chen;lin;han;ding,,,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_YOLOE_Real-Time_Seeing_Anything_ICCV_2025_paper.html,,2026-07-15,"Official CVF metadata matches title, six authors, ICCV 2025, and pages 24591-24602."
30,ganeshan2026superfrusta,inproceedings,233,url_only,https://openaccess.thecvf.com/content/CVPR2026/html/Ganeshan_Residual_Primitive_Fitting_of_3D_Shapes_with_SuperFrusta_CVPR_2026_paper.html,verified_primary_metadata,Residual Primitive Fitting of 3D Shapes with SuperFrusta,,,2026,,ganeshan;gadelha;groueix;chen;chaudhuri;kim;yifan;ritchie,,,https://openaccess.thecvf.com/content/CVPR2026/html/Ganeshan_Residual_Primitive_Fitting_of_3D_Shapes_with_SuperFrusta_CVPR_2026_paper.html,,2026-07-15,"Official CVF metadata matches title, eight authors, CVPR 2026, and pages 7404-7413."
31,meng2026dualprim,inproceedings,242,url_only,https://openaccess.thecvf.com/content/CVPR2026/html/Meng_DualPrim_Compact_3D_Reconstruction_with_Positive_and_Negative_Primitives_CVPR_2026_paper.html,verified_primary_metadata,DualPrim: Compact 3D Reconstruction with Positive and Negative Primitives,,,2026,,meng;chen;yang;chen;liu;gao,,,https://openaccess.thecvf.com/content/CVPR2026/html/Meng_DualPrim_Compact_3D_Reconstruction_with_Positive_and_Negative_Primitives_CVPR_2026_paper.html,,2026-07-15,"Official CVF metadata matches title, six authors, CVPR 2026, and pages 29081-29091."
32,trager2016silhouettes,inproceedings,251,url_only,https://openaccess.thecvf.com/content_cvpr_2016/html/Trager_Consistency_of_Silhouettes_CVPR_2016_paper.html,verified_primary_metadata,Consistency of Silhouettes and Their Duals,,,2016,,trager;hebert;ponce,,,https://openaccess.thecvf.com/content_cvpr_2016/html/Trager_Consistency_of_Silhouettes_CVPR_2016_paper.html,,2026-07-15,"Official CVF metadata matches title, three authors, CVPR 2016, and pages 3346-3354."
33,paschalidou2019superquadrics,inproceedings,260,arxiv,1904.09970,verified_primary_metadata,Superquadrics Revisited: Learning 3D Shape Parsing Beyond Cuboids,Superquadrics Revisited: Learning 3D Shape Parsing beyond Cuboids,1.0,2019,2019,paschalidou;ulusoy;geiger,paschalidou;ulusoy;geiger,True,http://arxiv.org/abs/1904.09970v1,,,
34,fedele2025superdec,article,268,arxiv,2504.00992,verified_primary_metadata,SuperDec: 3D Scene Decomposition with Superquadric Primitives,SuperDec: 3D Scene Decomposition with Superquadric Primitives,1.0,2025,2025,fedele;sun;guibas;pollefeys;engelmann,fedele;sun;guibas;pollefeys;engelmann,True,http://arxiv.org/abs/2504.00992v2,,,
35,marr1978representation,article,276,crossref,10.1098/rspb.1978.0020,verified_primary_metadata,Representation and Recognition of the Spatial Organization of Three-Dimensional Shapes,Representation and recognition of the spatial organization of three-dimensional shapes,1.0,1978,1978,marr;nishihara,marr;nishihara,True,https://doi.org/10.1098/rspb.1978.0020,,,
36,biederman1987recognition,article,287,crossref,10.1037/0033-295X.94.2.115,verified_primary_metadata,Recognition-by-Components: A Theory of Human Image Understanding,Recognition-by-components: A theory of human image understanding.,1.0,1987,1987,biederman,biederman,True,https://doi.org/10.1037/0033-295x.94.2.115,,,
37,solina1990recovery,article,298,crossref,10.1109/34.44401,verified_primary_metadata,Recovery of Parametric Models from Range Images: The Case for Superquadrics with Global Deformations,Recovery of parametric models from range images: the case for superquadrics with global deformations,1.0,1990,1990,solina;bajcsy,solina;bajcsy,True,https://doi.org/10.1109/34.44401,,,
38,tulsiani2017learning,inproceedings,309,arxiv,1612.00404,verified_primary_metadata,Learning Shape Abstractions by Assembling Volumetric Primitives,Learning Shape Abstractions by Assembling Volumetric Primitives,1.0,2017,2016,tulsiani;su;guibas;efros;malik,tulsiani;su;guibas;efros;malik,True,http://arxiv.org/abs/1612.00404v4,,,
39,mueller2006procedural,article,318,crossref,10.1145/1141911.1141931,verified_primary_metadata,Procedural Modeling of Buildings,Procedural modeling of buildings,1.0,2006,2006,muller;wonka;haegler;ulmer;van gool,muller;wonka;haegler;ulmer;gool,True,https://doi.org/10.1145/1141911.1141931,,,
40,jones2020shapeassembly,article,329,arxiv,2009.08026,verified_primary_metadata,ShapeAssembly: Learning to Generate Programs for 3D Shape Structure Synthesis,ShapeAssembly: Learning to Generate Programs for 3D Shape Structure Synthesis,1.0,2020,2020,jones;barton;xu;wang;jiang;guerrero;mitra;ritchie,jones;barton;xu;wang;jiang;guerrero;mitra;ritchie,True,http://arxiv.org/abs/2009.08026v1,,,
41,zou20173dprnn,inproceedings,340,crossref,10.1109/ICCV.2017.103,verified_primary_metadata,3D-PRNN: Generating Shape Primitives with Recurrent Neural Networks,3D-PRNN: Generating Shape Primitives with Recurrent Neural Networks,1.0,2017,2017,zou;yumer;yang;ceylan;hoiem,zou;yumer;yang;ceylan;hoiem,True,https://doi.org/10.1109/iccv.2017.103,,,
42,sharma2018csgnet,inproceedings,350,arxiv,1712.08290,verified_primary_metadata,CSGNet: Neural Shape Parser for Constructive Solid Geometry,CSGNet: Neural Shape Parser for Constructive Solid Geometry,1.0,2018,2017,sharma;goyal;liu;kalogerakis;maji,sharma;goyal;liu;kalogerakis;maji,True,http://arxiv.org/abs/1712.08290v2,,,
43,jones2023shapecoder,article,358,arxiv,2305.05661,verified_primary_metadata,ShapeCoder: Discovering Abstractions for Visual Programs from Unstructured Primitives,ShapeCoder: Discovering Abstractions for Visual Programs from Unstructured Primitives,1.0,2023,2023,jones;guerrero;mitra;ritchie,jones;guerrero;mitra;ritchie,True,http://arxiv.org/abs/2305.05661v1,,,
44,khan2024text2cad,inproceedings,368,arxiv,2409.17106,verified_primary_metadata,Text2CAD: Generating Sequential CAD Designs from Beginner-to-Expert Level Text Prompts,Text2CAD: Generating Sequential CAD Models from Beginner-to-Expert Level Text Prompts,0.9586,2024,2024,khan;sinha;sheikh;stricker;ali;afzal,khan;sinha;sheikh;stricker;ali;afzal,True,http://arxiv.org/abs/2409.17106v1,,,
45,rukhovich2024cadrecode,inproceedings,377,arxiv,2412.14042,verified_primary_metadata,CAD-Recode: Reverse Engineering CAD Code from Point Clouds,CAD-Recode: Reverse Engineering CAD Code from Point Clouds,1.0,2025,2024,rukhovich;dupont;mallis;cherenkova;kacem;aouada,rukhovich;dupont;mallis;cherenkova;kacem;aouada,True,http://arxiv.org/abs/2412.14042v2,,,
46,clark1976hierarchical,article,385,crossref,10.1145/360349.360354,verified_primary_metadata,Hierarchical Geometric Models for Visible Surface Algorithms,Hierarchical geometric models for visible surface algorithms,1.0,1976,1976,clark,clark,True,https://doi.org/10.1145/360349.360354,,,
47,decoret2003billboard,article,396,crossref,10.1145/882262.882326,verified_primary_metadata,Billboard Clouds for Extreme Model Simplification,Billboard clouds for extreme model simplification,1.0,2003,2003,decoret;durand;sillion;dorsey,decoret;durand;sillion;dorsey,True,https://doi.org/10.1145/882262.882326,,,
48,epic2024nanite,misc,407,url_only,https://dev.epicgames.com/documentation/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,verified_official_documentation,Nanite Virtualized Geometry Overview,,,2026,,games,,,https://dev.epicgames.com/documentation/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,,2026-07-15,Current Epic documentation heading is Nanite Virtualized Geometry Overview; BibTeX title and rolling-document note were updated accordingly.
49,ogc2023tiles,misc,415,url_only,https://docs.ogc.org/cs/22-025r4/22-025r4.html,verified_standard_metadata,OGC 3D Tiles 1.1 Community Standard,,,2023,,consortium,,,https://docs.ogc.org/cs/22-025r4/22-025r4.html,,2026-07-15,"Official OGC document 22-025r4 states 3D Tiles Specification, approved Community Standard, version 1.1, publication date 2023-01-12."
50,armeni2019scenegraph,inproceedings,422,arxiv,1910.02527,verified_primary_metadata,"3D Scene Graph: A Structure for Unified Semantics, 3D Space, and Camera","3D Scene Graph: A Structure for Unified Semantics, 3D Space, and Camera",1.0,2019,2019,armeni;he;gwak;zamir;fischer;malik;savarese,armeni;he;gwak;zamir;fischer;malik;savarese,True,http://arxiv.org/abs/1910.02527v1,,,
51,rosinol2020dynamic,inproceedings,432,arxiv,2002.06289,verified_primary_metadata,"3D Dynamic Scene Graphs: Actionable Spatial Perception with Places, Objects, and Humans","3D Dynamic Scene Graphs: Actionable Spatial Perception with Places, Objects, and Humans",1.0,2020,2020,rosinol;gupta;abate;shi;carlone,rosinol;gupta;abate;shi;carlone,True,http://arxiv.org/abs/2002.06289v2,,,
52,wu2021scenegraphfusion,inproceedings,441,arxiv,2103.14898,verified_primary_metadata,SceneGraphFusion: Incremental 3D Scene Graph Prediction from RGB-D Sequences,SceneGraphFusion: Incremental 3D Scene Graph Prediction from RGB-D Sequences,1.0,2021,2021,wu;wald;tateno;navab;tombari,wu;wald;tateno;navab;tombari,True,http://arxiv.org/abs/2103.14898v3,,,
53,endsley1988sagat,inproceedings,449,crossref,10.1109/NAECON.1988.195097,verified_primary_metadata,Situation Awareness Global Assessment Technique (SAGAT),Situation awareness global assessment technique (SAGAT),1.0,1988,,endsley,endsley,True,https://doi.org/10.1109/naecon.1988.195097,,,
54,endsley1995situation,article,457,crossref,10.1518/001872095779049543,verified_primary_metadata,Toward a Theory of Situation Awareness in Dynamic Systems,Toward a Theory of Situation Awareness in Dynamic Systems,1.0,1995,1995,endsley,endsley,True,https://doi.org/10.1518/001872095779049543,,,
55,hart1988nasatlx,incollection,468,crossref,10.1016/S0166-4115(08)62386-9,verified_primary_metadata,Development of NASA-TLX (Task Load Index): Results of Empirical and Theoretical Research,Development of NASA-TLX (Task Load Index): Results of Empirical and Theoretical Research,1.0,1988,1988,hart;staveland,,False,https://doi.org/10.1016/s0166-4115(08)62386-9,,,
56,hornung2013octomap,article,480,crossref,10.1007/s10514-012-9321-0,verified_primary_metadata,OctoMap: An Efficient Probabilistic 3D Mapping Framework Based on Octrees,OctoMap: an efficient probabilistic 3D mapping framework based on octrees,1.0,2013,2013,hornung;wurm;bennewitz;stachniss;burgard,hornung;wurm;bennewitz;stachniss;burgard,True,https://doi.org/10.1007/s10514-012-9321-0,,,
57,oleynikova2017voxblox,inproceedings,492,arxiv,1611.03631,verified_primary_metadata,Voxblox: Incremental 3D Euclidean Signed Distance Fields for On-Board MAV Planning,Voxblox: Incremental 3D Euclidean Signed Distance Fields for On-Board MAV Planning,1.0,2017,2016,oleynikova;taylor;fehr;nieto;siegwart,oleynikova;taylor;fehr;nieto;siegwart,True,http://arxiv.org/abs/1611.03631v2,,,
58,pytorch2026memoryfraction,misc,502,url_only,https://docs.pytorch.org/docs/2.13/generated/torch.cuda.memory.set_per_process_memory_fraction.html,verified_official_documentation,torch.cuda.memory.set\_per\_process\_memory\_fraction,,,2026,,contributors,,,https://docs.pytorch.org/docs/2.13/generated/torch.cuda.memory.set_per_process_memory_fraction.html,,2026-07-15,Versioned PyTorch 2.13 page heading exactly matches torch.cuda.memory.set_per_process_memory_fraction; the BibTeX URL was pinned to that version.
